Rank,Name,Symbol,Price,YTD %,90d %,60d %,30d %,7d %,Market Cap,Volume (24h),Circulating Supply,Total Supply,24h %,1h %
1,Bitcoin,BTC,106880.96,13.20,9.35,7.06,8.72,4.78,2129351164349,95592810937,894990,19936237,0.22,0.06
2,Ethereum,ETH,3870.04,15.40,5.75,8.63,15.37,2.23,466505207633,54450096914,14.08,120698485,1.14,0.04
3,Tether,USDT,1.00,0.27,0.02,0.01,0.04,0.08,181753092724,195158638834,195.06,184009025774,0.02,0.02
4,BNB,BNB,1096.62,55.22,47.61,30.22,10.41,1.19,152629810824,6389590831,5.82,139180915,1.15,1.10
5,XRP,XRP,2.34,0.85,31.41,22.52,23.61,4.04,140473146932,7086933523,3.02,99985782669,1.89,0.80
6,Solana,SOL,185.42,4.36,4.53,2.92,23.98,0.06,101418889075,9655914213,52.07,612148012,2.20,0.62
7,USDC,USDC,1.00,0.01,0.03,0.01,0.02,0.01,75978437694,22595801061,22.59,75976908430,0.03,0.02
8,TRON,TRX,0.3125,22.42,2.27,10.19,9.18,1.86,29587889621,1093716568,3.49,94664304160,0.23,0.22
9,Dogecoin,DOGE,0.1864,42.51,25.70,14.49,32.96,4.63,28229178753,3126689047,16.76,151397856384,1.19,0.22
10,Cardano,ADA,0.6275,31.61,25.14,32.19,30.49,4.46,22492849980,1559158363,2.48,44994677852,0.33,0.12
11,Ethena USDe,USDe,0.9995,0.23,0.18,0.12,0.13,0.06,12202187544,460930031,0.46114,12207258845,0.02,0.01
12,Hyperliquid,HYPE,35.05,46.71,22.04,16.94,39.84,10.46,11804105149,669480025,19.12,999584316,1.45,0.15
13,Chainlink,LINK,16.66,16.62,10.78,31.75,30.01,6.30,11303629797,1240276473,74.48,1000000000,1.34,0.18
14,Stellar,XLM,0.3133,5.53,32.05,23.31,20.49,4.93,10027199234,337588506,1.07,50001786885,3.07,0.67
15,Bitcoin Cash,BCH,474.98,9.49,9.61,16.50,25.20,10.73,9471424849,636214134,1.34,19940566,3.25,0.29
16,Sui,SUI,2.43,40.78,37.53,31.41,35.60,11.90,8839811192,1858491202,764.47,10000000000,0.05,0.03
17,UNUS SED LEO,LEO,9.42,4.13,4.71,0.85,1.32,1.75,8693755866,1415631,0.15021,985239504,2.23,0.04
18,Avalanche,AVAX,20.10,43.66,18.53,13.33,38.24,10.89,8573811795,829991674,41.32,459794361,0.46,0.05
19,Hedera,HBAR,0.1643,38.78,38.83,31.73,32.56,3.39,6970706044,394682371,2.40,50000000000,0.46,0.01
20,Litecoin,LTC,90.77,11.92,21.57,22.03,21.97,8.95,6937197294,1078018352,11.89,84000000,2.09,0.04
21,Shiba Inu,SHIB,0.000059859,53.37,34.56,21.52,26.09,4.44,5809651124,255181192,25940000,589500880572193,1.59,0.25
22,Monero,XMR,292.18,51.10,10.77,6.20,0.96,0.12,5389933138,162734871,0.55734,18446744,0.17,0.15
23,Dai,DAI,1.00,0.05,0.00,0.01,0.04,0.03,5366121665,202612550,202.59,5365382703,0.01,0.02
24,Toncoin,TON,2.12,61.31,33.99,34.05,32.08,2.12,5353362899,200894983,94.77,5143394233,0.74,0.08
25,Mantle,MNT,1.63,30.76,102.43,26.82,2.64,11.06,5310470837,368702932,226.54,6219316795,1.45,0.05
26,Cronos,CRO,0.1437,2.00,19.33,2.49,39.14,11.87,5183531569,54795754,381.51,98086111281,1.97,0.62
27,Polkadot,DOT,2.92,55.90,33.74,24.02,34.48,8.54,4763168545,370307036,126.91,1628046232,0.17,0.13
28,Bittensor,TAO,397.28,9.84,4.82,12.87,11.21,25.20,4017778170,476740834,1.19,21000000,10.36,0.54
29,Uniswap,UNI,6.11,55.04,42.00,40.70,35.66,3.54,3855682759,325121296,53.16,1000000000,0.45,0.61
30,OKB,OKB,168.10,242.64,244.62,32.42,13.09,7.19,3530144355,157285908,0.93799,21000000,2.61,0.09
31,Zcash,ZEC,216.07,284.96,384.02,508.00,328.72,11.15,3515171219,689230354,3.20,16267920,6.58,0.55
32,Ethena,ENA,0.4592,49.41,1.42,30.38,34.23,5.75,3286179367,679124901,1.48,15000000000,15.68,1.35
33,Bitget Token,BGB,4.59,22.99,6.74,3.08,8.70,6.22,3198722384,167619357,36.46,919992036,0.06,0.15
34,World Liberty Financial,WLFI,0.1306,42.84,42.91,42.91,40.72,1.54,3209571118,200762965,1.53,100000000000,1.96,0.00
35,Aave,AAVE,207.94,32.62,35.90,26.82,31.59,11.75,3172397175,519776041,2.50,16000000,4.06,0.47
36,Pepe,PEPE,0.000056736,66.20,50.78,36.11,40.81,4.03,2833908389,623444254,92730000,420689899653543,1.40,0.11
37,PayPal USD,PYUSD,0.9997,0.06,0.02,0.03,0.03,0.02,2738091791,252613005,252.67,2738899260,0.01,0.00
38,World Liberty Financial USD,USD1,1.00,0.14,0.04,0.05,0.03,0.01,2691141854,552138920,552.06,2690632394,0.02,0.02
39,NEAR Protocol,NEAR,2.14,56.24,27.11,14.77,25.43,12.35,2681274876,252980587,118.04,1276635564,0.49,0.42
40,Aster,ASTER,1.19,1314.44,1308.15,1308.15,206.81,12.82,2408344723,1452117843,1.22,8000000000,0.18,0.06
41,Ethereum Classic,ETC,15.48,38.09,37.90,27.42,25.53,2.94,2384295141,132405176,8.55,210700000,0.65,0.21
42,Aptos,APT,3.14,63.84,40.91,29.28,31.24,21.20,2257103159,154392712,49.14,1180187256,0.14,0.39
43,Ondo,ONDO,0.7135,46.93,31.36,24.54,31.84,5.30,2254224766,211565233,297.13,10000000000,2.00,0.12
44,Polygon,POL,0.1889,58.13,22.52,26.67,27.19,2.16,1987150881,151949991,805.89,10518510647,3.16,0.51
45,MemeCore,M,1.88,3123.39,434.43,389.57,35.65,14.42,1960374332,17698880,9.38,5264317858,1.07,1.09
46,Worldcoin,WLD,0.8804,57.82,26.13,5.27,44.44,7.35,1953703459,209274273,237.77,10000000000,1.91,0.47
47,KuCoin Token,KCS,13.60,29.18,12.93,10.04,13.75,5.20,1765198410,11929046,0.87799,142275852,1.80,0.31
48,Story,IP,5.47,89.43,15.34,2.20,49.10,11.87,1759677364,123708024,22.62,1015900994,0.76,0.09
49,Arbitrum,ARB,0.3062,57.54,34.94,38.03,40.68,1.98,1687442621,280616148,917.32,10000000000,0.61,0.25
