name,symbol,price,market cap,24h volume,24h,7d,30d
XRP,XRP,2.55,153.20B,3.52B,3.88%,8.19%,-7.16%
Lido Staked Ether,STETH,3929.61,33.76B,29.00M,-0.58%,1.12%,1.62%
Lido wstETH,WSTETH,4779.66,15.82B,6.27M,-0.67%,1.24%,1.81%
Wrapped Bitcoin,WBTC,111519.07,14.12B,27.89M,0.35%,4.00%,2.32%
Wrapped Beacon ETH,WBETH,4245.06,13.85B,5.37M,-0.63%,1.14%,1.65%
Hyperliquid,HYPE,40.16,13.52B,193.46M,-0.60%,8.93%,-0.52%
Chainlink,LINK,17.91,12.50B,365.28M,0.85%,6.44%,-11.19%
Ethena USDe,USDE,0.9994,10.56B,89.25M,0.00%,-0.04%,-0.01%
Wrapped eETH,WEETH,4245.76,10.53B,32.35K,-0.69%,1.18%,2.07%
Aave Ethereum WETH,AETHWETH,3932.97,9.45B,187.62K,-0.59%,1.08%,1.48%
World Liberty Financial,WLFI,0.1341,8.61B,138.92M,-6.20%,2.68%,-30.58%
Wrapped Ether,WETH,3929.70,8.55B,7.87M,-0.74%,0.93%,1.53%
Coinbase Wrapped BTC,CBBTC,111528.58,7.41B,33.63M,0.47%,3.98%,2.18%
Aave Ethereum USDT,AETHUSDT,1.00,6.17B,28.83M,-0.01%,-0.04%,-0.01%
Shiba Inu,SHIB,0.00001017,6.00B,57.75M,-0.54%,2.54%,-12.85%
Mantle,MANTLE,1.65,5.36B,122.46M,-2.40%,-1.22%,3.03%
Sky Dollar,USDS,0.9997,5.20B,135.06K,0.04%,-0.04%,-0.16%
Dai,DAI,0.9999,4.67B,34.47M,0.00%,0.00%,0.01%
Uniswap Protocol Token,UNI,6.19,3.83B,112.27M,-3.17%,2.64%,-17.09%
Aave,AAVE,226.55,3.46B,119.74M,-1.70%,5.39%,-12.96%
Ethena,ENA,0.4689,3.36B,216.18M,-0.23%,1.38%,-17.54%
Bitget Token,BGB,4.67,3.27B,73.31M,-0.24%,0.13%,-9.20%
Jito Staked SOL,JITOSOL,240.28,2.77B,4.57M,0.53%,3.51%,1.21%
Ondo,ONDO,0.7249,2.29B,84.15M,-1.84%,1.53%,-17.27%
Aster,ASTER,1.11,2.24B,385.43M,0.35%,-5.49%,-40.67%
Rocket Pool ETH,RETH,4900.70,1.91B,693.61K,-1.26%,10.07%,10.08%
GateToken,GT,15.65,1.83B,3.70M,-1.07%,-1.71%,-0.96%
Binance Staked SOL,BNSOL,209.57,1.70B,1.52M,0.46%,3.63%,1.26%
Kelp DAO Restaked ETH,RSETH,4146.68,1.55B,551.74K,-1.53%,0.98%,0.95%
SKY Governance Token,SKY,0.05776,1.35B,10.05M,-2.71%,-2.27%,-11.12%
Renzo Restaked ETH,EZETH,4174.02,1.25B,55.05K,-0.17%,1.16%,0.89%
Lombard Staked BTC,LBTC,111406.06,1.25B,135.58K,0.26%,3.73%,2.09%
Jupiter,JUP,0.3926,1.24B,45.95M,7.45%,14.85%,-8.48%
BONK,BONK,0.00001470,1.20B,145.47M,-0.93%,3.02%,-22.08%
Pump.fun,PUMP,0.004105,1.13B,186.91M,0.24%,3.41%,-18.21%
XDC Network,XDC,0.06287,1.12B,26.97M,1.05%,4.69%,-14.38%
Mantle Staked Ether,METH,4241.01,977.12M,1.27M,-0.45%,1.11%,1.65%
PancakeSwap,CAKE,2.69,921.19M,102.82M,-1.00%,-6.46%,3.83%
Fasttoken,FTN,1.94,912.95M,799.36K,3.29%,8.26%,-56.35%
Lido DAO,LDO,0.9098,816.50M,130.54M,-1.49%,3.98%,-14.04%
Marinade Staked SOL,MSOL,258.35,811.49M,137.67K,0.18%,3.52%,1.17%
Curve DAO Token,CRV,0.5295,753.22M,122.12M,-1.25%,0.27%,-16.74%
Aerodrome Finance,AERO,0.8160,738.49M,18.01M,0.15%,4.30%,-17.08%
Floki,FLOKI,0.000007341,707.33M,38.32M,0.00%,13.06%,-8.01%
Morpho,MORPHO,1.97,700.82M,29.57M,-0.68%,3.85%,20.70%
Injective,INJ,8.37,667.45M,48.90M,-2.48%,-0.94%,-26.38%
NEXO,NEXO,1.13,636.23M,7.83M,0.17%,-3.32%,-6.42%
Ether.fi,ETHFI,1.00,563.65M,44.81M,-0.36%,-6.47%,-32.82%
DeXe,DEXE,6.60,552.63M,5.94M,2.77%,1.88%,-27.79%
Pendle,PENDLE,3.17,533.05M,89.79M,2.31%,-2.16%,-28.57%
