name,symbol,price,market cap,24h volume,24h,7d,30d
XRP,XRP,2.55,153.20B,3.52B,3.88%,8.19%,-7.16%
Lido Staked Ether,STETH,3929.61,33.76B,29.00M,-0.58%,1.12%,1.62%
Lido wstETH,WSTETH,4779.66,15.82B,6.27M,-0.67%,1.24%,1.81%
Wrapped Bitcoin,WBTC,111519.07,14.12B,27.89M,0.35%,4.00%,2.32%
Wrapped Beacon ETH,WBETH,4245.06,13.85B,5.37M,-0.63%,1.14%,1.65%
Hyperliquid,HYPE,40.16,13.52B,193.46M,-0.60%,8.93%,-0.52%
Chainlink,LINK,17.91,12.50B,365.28M,0.85%,6.44%,-11.19%
Ethena USDe,USDE,0.9994,10.56B,89.25M,0.00%,-0.04%,-0.01%
Wrapped eETH,WEETH,4245.76,10.53B,32.35K,-0.69%,1.18%,2.07%
Aave Ethereum WETH,AETHWETH,3932.97,9.45B,187.62K,-0.59%,1.08%,1.48%
World Liberty Financial,WLFI,0.1341,8.61B,138.92M,-6.20%,2.68%,-30.58%
Wrapped Ether,WETH,3929.70,8.55B,7.87M,-0.74%,0.93%,1.53%
Coinbase Wrapped BTC,CBBTC,111528.58,7.41B,33.63M,0.47%,3.98%,2.18%
Aave Ethereum USDT,AETHUSDT,1.00,6.17B,28.83M,-0.01%,-0.04%,-0.01%
Shiba Inu,SHIB,0.00001017,6.00B,57.75M,-0.54%,2.54%,-12.85%
Mantle,MANTLE,1.65,5.36B,122.46M,-2.40%,-1.22%,3.03%
Sky Dollar,USDS,0.9997,5.20B,135.06K,0.04%,-0.04%,-0.16%
Dai,DAI,0.9999,4.67B,34.47M,0.00%,0.00%,0.01%
Uniswap Protocol Token,UNI,6.19,3.83B,112.27M,-3.17%,2.64%,-17.09%
Aave,AAVE,226.55,3.46B,119.74M,-1.70%,5.39%,-12.96%
