name,symbol,price,market cap,24h volume,24h,7d,30d
Bitcoin,BTC,$110035.14,$2.19T,$23.74B,0.31%,-1.45%,-8.76%
Tether,USDT,$0.9996,$183.49B,$737.33M,-0.05%,-0.05%,-0.08%
XRP,XRP,$2.51,$149.75B,$2.96B,0.80%,-3.24%,-17.43%
Dogecoin,DOGE,$0.1863,$28.12B,$849.76M,0.63%,-5.17%,-28.93%
Bitcoin Cash,BCH,$549.51,$10.98B,$211.24M,-0.83%,8.12%,-7.61%
Stellar Lumen,XLM,$0.3037,$9.73B,$147.92M,0.25%,-6.53%,-25.74%
Litecoin,LTC,$96.11,$7.33B,$384.20M,2.16%,-0.90%,-19.64%
ZCash,ZEC,$441.76,$7.18B,$1.14B,14.91%,60.13%,236.55%
Monero,XMR,$341.78,$6.36B,$104.30M,6.60%,2.48%,2.57%
Toncoin,TON,$2.31,$5.82B,$176.57M,7.29%,7.52%,-18.79%
PayPal USD,PYUSD,$0.9996,$2.81B,$32.80M,-0.08%,0.03%,0.00%
Pepe (pepe.vip),PEPE,$0.000006567,$2.72B,$230.07M,0.29%,-8.26%,-35.78%
Pi Network,PI,$0.2500,$2.01B,$44.46M,2.13%,20.61%,-5.80%
RYO Coin,RYO,$6.73,$1.89B,$2.69M,2.16%,-4.01%,3.59%
Kaspa,KAS,$0.05277,$1.42B,$24.97M,-2.01%,-9.96%,-35.23%
Dash,DASH,$60.61,$745.88M,$324.36M,27.90%,44.31%,85.45%
Beldex,BDX,$0.08005,$599.47M,$9.04M,-0.16%,2.16%,-0.34%
USDD,USDD,$0.9992,$430.67M,$1.27M,-0.07%,-0.03%,0.19%
MimbleWimbleCoin,MWC,$34.08,$382.52M,$151.29K,-2.07%,1.56%,7.79%
eCash,XEC,$0.00001484,$298.99M,$9.65M,-1.07%,1.66%,-20.63%
EURC,EURC,$1.15,$278.08M,$25.15M,-0.20%,-0.82%,-1.52%
Decred,DCR,$16.67,$275.15M,$1.96M,3.70%,0.77%,-13.91%
World Mobile Token,WMTX,$0.1283,$249.20M,$4.62M,-3.68%,-12.98%,-43.92%
Telcoin,TEL,$0.003394,$241.10M,$483.29K,1.19%,-9.65%,-28.38%
Horizen,ZEN,$16.78,$206.07M,$155.41M,32.54%,48.70%,70.51%
Zano,ZANO,$11.26,$174.63M,$1.51M,-3.26%,-0.79%,-20.18%
Velo,VELO,$0.008336,$148.34M,$8.58M,-1.23%,1.81%,-38.82%
Proton,XPR,$0.004794,$139.72M,$2.00M,-3.20%,-5.97%,-24.77%
Zignaly,ZIG,$0.08632,$122.59M,$1.59M,-0.77%,-5.67%,-20.59%
Pirate Chain,ARRR,$0.6372,$119.64M,$322.14K,4.69%,30.59%,111.36%
Open Campus,EDU,$0.1765,$111.05M,$8.14M,-4.64%,-9.09%,27.90%
DigiByte,DGB,$0.006035,$106.41M,$6.35M,1.96%,-6.77%,-26.48%
KUB,KUB,$1.42,$104.89M,$275.07K,0.02%,-4.27%,-8.13%
MSquare Global,MSQ,$4.15,$104.74M,$542.22K,2.67%,28.25%,-28.00%
Request Network,REQ,$0.1217,$100.72M,$1.87M,-0.46%,-1.49%,-5.85%
Chia,XCH,$6.26,$94.38M,$3.90M,-3.05%,-4.60%,-28.82%
Verge,XVG,$0.006673,$91.57M,$15.44M,20.44%,13.63%,-28.45%
Loopring,LRC,$0.06665,$90.45M,$2.18M,1.26%,-3.24%,-25.26%
LCX,LCX,$0.1036,$89.02M,$165.74K,-1.26%,-4.36%,-25.50%
Nano,NANO,$0.6456,$85.81M,$252.71K,0.26%,-6.38%,-24.54%
PayProtocol Paycoin,PCI,$0.08029,$81.52M,$270.25K,-2.45%,-2.29%,-18.73%
Pundi X,PUNDIX,$0.3006,$78.97M,$2.07M,-1.60%,-13.84%,-7.79%
SXP,SXP,$0.1122,$73.37M,$2.32M,1.09%,-8.25%,-32.20%
Dogelon Mars,ELON,$0.00000007175,$66.68M,$869.56K,0.05%,-5.33%,-29.00%
SWFTCoin,SWFTC,$0.006044,$61.12M,$958.44K,-1.13%,-6.35%,-30.34%
Metis Token,METIS,$9.00,$60.39M,$8.38M,-0.23%,-10.80%,-36.09%
Verasity,VRA,$0.000006378,$60.09M,$2.38M,-0.98%,-6.64%,-47.47%
COTI,COTI,$0.03245,$55.98M,$4.64M,3.80%,-3.54%,-31.02%
Pax Dollar,USDP,$0.9994,$53.68M,$3.25M,-0.05%,-0.02%,0.00%
MiL.k Alliance,MLK,$0.09762,$50.87M,$3.16M,-2.81%,-8.36%,-26.57%
