name,symbol,price,market cap,24h volume,24h,7d,30d
Tether,USDT,$1.00,$181.75B,$518.79M,0.03%,-0.05%,0.03%
USDC,USDC,$1.00,$75.98B,$4.25B,0.00%,0.01%,0.03%
Ethena USDe,USDE,$0.9997,$12.18B,$240.90M,0.03%,-0.06%,-0.12%
Aave Ethereum USDT,AETHUSDT,$1.00,$6.14B,$94.91M,0.02%,-0.06%,0.04%
Ethena Staked USDe,SUSDE,$1.20,$5.61B,$26.61K,0.21%,-0.03%,-0.21%
Dai,DAI,$1.00,$4.59B,$51.98M,0.04%,0.08%,0.08%
Sky Dollar,USDS,$0.9999,$4.58B,$148.55K,-4.93%,-5.44%,0.02%
USDT0,USDT0,$1.00,$2.41B,$14.63M,0.00%,-0.07%,0.04%
Falcon USD,USDF,$0.9950,$2.24B,$52.40K,-0.05%,0.95%,-0.57%
World Liberty Financial USD,USD1,$1.00,$2.54B,$91.70M,0.03%,-0.02%,0.02%
USDtb,USDTB,$1.00,$1.83B,$779.12K,0.04%,-0.05%,0.05%
PayPal USD,PYUSD,$0.9999,$2.74B,$85.86M,-0.04%,-0.02%,0.06%
Global Dollar,USDG,$0.9999,$894.08M,$11.12M,-0.00%,0.02%,0.00%
Ripple USD,RLUSD,$1.00,$873.97M,$43.33M,0.02%,0.05%,0.05%
First Digital USD,FDUSD,$0.9979,$1.01B,$514.94M,0.06%,-0.04%,-0.00%
Usual,USD0,$0.9983,$547.24M,$1.02M,-0.00%,-0.01%,0.01%
USDD,USDD,$0.9998,$498.27M,$1.03M,-0.01%,-0.01%,-0.16%
Ondo US Dollar Yield Token,USDY,$1.11,$437.70M,$2.34K,0.03%,-0.09%,0.26%
USDJ,USDJ,$1.21,$331.34M,$3.07M,-0.51%,-1.24%,-8.44%
EURC,EURC,$1.16,$261.77M,$47.06M,-0.65%,1.47%,-1.28%
