Rank,Name,Market Sectors,Active users (daily) (30d latest),Active users (daily) (30d change)
1,BNB Chain,blockchains-l1,4685941,0.12350134996884318
2,NEAR Protocol,blockchains-l1,2964820,1.6996619071423824
3,Tron,blockchains-l1,2674650,0.06872117072048026
4,Solana,blockchains-l1,2480445,-0.041846046875452673
5,World Mobile Chain,infrastructure,2233627,0.16661939867806322
6,opBNB,blockchains-l2,2009555,0.18436655362596613
7,Base,blockchains-l2,873182,-0.18111959726609098
8,Jito,liquid-staking,754078,0.22545563870674173
9,Aptos,blockchains-l1,750220,-0.24593502268064862
10,Celo,blockchains-l2,648189,0.028499209809783127
11,Raydium,exchange,642133,0.23933753565734975
12,Polygon,blockchains-l1,553948,-0.028195501912213608
13,Uniswap,exchange,505530,-0.21060028294904107
14,Bitcoin,blockchains-l1,499777,0.08952715223125722
15,PancakeSwap,exchange,478405,0.038795929977548
16,Ethereum,blockchains-l1,464704,-0.028691702669768473
17,Arbitrum One,blockchains-l2,321440,-0.27361639334630444
18,Ronin,blockchains-l1,273536,-0.04693945813357119
19,pump.fun,exchange,111078,-0.33294899742374834
20,Meteora,exchange,97809,-0.17780617177058028
21,TON,blockchains-l1,95788,0.046840506218443316
22,QuickSwap,exchange,84062,0.0898318488843945
23,Injective,blockchains-l1,82985,0.03130514751572092
24,Phantom,dex-aggregators,82750,-0.1208312527225014
25,Hyperliquid,derivatives,79390,0.2657642575851788
26,OP Mainnet,blockchains-l2,76468,0.21950752743046695
27,Linea,blockchains-l2,74914,0.43411757949346247
28,Stellar,blockchains-l1,70930,0.006213471032173863
29,Orca,exchange,68312,0.14679022293849048
30,Worldcoin,infrastructure,65949,-0.2469684167256617
31,World Chain,blockchains-l2,65945,0.32180797755061136
32,Soneium,blockchains-l2,61035,0.6217616580310881
33,Ink,blockchains-l2,58249,-0.2217798500981977
34,KyberSwap,dex-aggregators,52867,3.9311631377669993
35,Avalanche,blockchains-l1,51493,0.19645429620335517
36,Aerodrome,exchange,44424,-0.14945433658816773
37,Immutable zkEVM,blockchains-l2,43592,0.2127754284442466
38,Immutable,blockchains-l2,43592,0.2127754284442466
39,Dogecoin,blockchains-l1,42200,-0.48557287920714837
40,Algorand,blockchains-l1,33516,2.1895698515416826
41,Axiom Trade,exchange,33343,-0.25331989698801927
42,Polymarket,prediction-markets,29438,0.04892214502048815
43,MultiversX,blockchains-l1,28021,-0.16397648954262017
44,Viction,blockchains-l1,27504,0.029688143461495266
45,XPLA,blockchains-l1,22809,0.1512138494927573
46,Metis,blockchains-l2,22427,9.387679481241316
47,Uniswap Labs,exchange,22210,-0.03270763468490048
48,Sonic,blockchains-l1,18715,0.22971285892634208
49,MetaMask,dex-aggregators,18405,0.511207816733722
50,SushiSwap,exchange,17791,-0.12686493914409108
51,Aave,lending,16655,0.8943357597816196
52,Unichain,blockchains-l2,16606,-0.028888888888888888
53,Trojan,infrastructure,14673,-0.37923594364767105
54,1inch,dex-aggregators,14400,-0.2556600847720459
