#,Asset,,Price,Market Cap,24h Volume,24h,7d,30d,Last 7 Days
1,BitcoinBTC,,"$106,922.27",$2.13T,$38.42B,1.19%,-3.51%,-8.70%,
2,EthereumETH,,"$3,874.61",$467.66B,$21.30B,3.08%,3.29%,-15.57%,
3,TetherUSDT,,$1.00,$181.76B,$704.02M,0.02%,-0.06%,0.03%,
4,Binance CoinBNB,,"$1,110.20",$154.52B,$3.18B,1.32%,-2.31%,13.13%,
5,XRPXRP,,$2.35,$141.14B,$4.59B,2.60%,-1.35%,-23.46%,
6,SolanaSOL,,$186.54,$102.03B,$5.85B,3.34%,4.87%,-24.65%,
7,USDCUSDC,,$1.00,$75.98B,$5.10B,-0.01%,0.01%,0.03%,
8,TRONTRX,,$0.3123,$29.57B,$861.92M,0.05%,-0.75%,-10.89%,
9,DogecoinDOGE,,$0.1874,$28.37B,$2.19B,2.64%,1.02%,-32.74%,
10,CardanoADA,,$0.6301,$23.04B,$920.14M,0.99%,-0.38%,-31.85%,
11,Ethena USDeUSDE,,$0.9996,$12.20B,$280.80M,0.01%,-0.07%,-0.13%,
12,HyperliquidHYPE,,$35.18,$11.85B,$437.25M,-0.17%,-4.52%,-39.96%,
13,ChainlinkLINK,,$16.72,$11.65B,$833.43M,-0.50%,-2.92%,-32.13%,
14,Stellar LumenXLM,,$0.3140,$10.06B,$250.32M,3.68%,-2.87%,-20.77%,
15,Bitcoin CashBCH,,$475.45,$9.48B,$419.90M,-3.07%,-5.03%,-23.87%,
16,SuiSUI,,$2.45,$8.87B,$1.28B,0.83%,-3.90%,-37.15%,
17,WhiteBIT CoinWBT,,$40.81,$8.78B,$188.78M,0.26%,-1.87%,-6.95%,
18,LEO TokenLEO,,$9.42,$8.69B,$777.01K,-1.95%,-1.74%,-1.10%,
19,AvalancheAVAX,,$20.16,$8.60B,$607.23M,1.20%,-6.15%,-42.72%,
20,Hedera HashgraphHBAR,,$0.1647,$6.99B,$339.01M,0.08%,-2.09%,-33.10%,
